ID2,SeriesName,Latitude,Longitude
49,Palouse,46.77923799990273,-117.08581000000254
50,Palouse,46.77932122667861,-117.08533552848597
51,Palouse,46.779196811288976,-117.08496351312131
52,Palouse,46.77929299989454,-117.0845560000032
53,Palouse,46.77924599997003,-117.08413800000399
54,Thatuna,46.77930899989812,-117.08372000000534
55,Palouse,46.77922999994375,-117.08330200000208
56,Palouse,46.77931127670538,-117.08290190849262
57,Staley,46.779335999917016,-117.08246600000089
58,Palouse,46.77913799992913,-117.08204799999665
59,Palouse,46.77925244173547,-117.08160014682375
60,Palouse,46.779278999903916,-117.08121199999779
61,Naff,46.77913499991369,-117.08079400000366
62,Naff,46.77941846604217,-117.08039988336306
63,Naff,46.77936899989097,-117.07995799999598
64,Naff,46.779332999978664,-117.07954000000085
65,Thatuna,46.77925399996715,-117.0791219999939
66,Thatuna,46.77928646233344,-117.07873384588757
67,Thatuna,46.77927099994625,-117.07828600000074
68,Thatuna,46.77943899996517,-117.08823100000363
69,Thatuna,46.77941399991618,-117.08781300000163
70,Staley,46.779586999971066,-117.08739499999932
71,Staley,46.779563999892005,-117.0869769999972
72,Palouse,46.77964899996695,-117.08655900000147
73,Staley,46.77963696737154,-117.08617245560391
74,Palouse,46.77950963058487,-117.08569155032396
75,Thatuna,46.77964199995556,-117.08530499999934
76,Palouse,46.77948999995207,-117.08488699999828
77,Palouse,46.77957899996951,-117.08446900000591
78,Thatuna,46.7795319999095,-117.08405100000383
79,Thatuna,46.779594999966555,-117.08363299999662
80,Palouse,46.77951599996818,-117.08321500000268
81,Thatuna,46.77958499991996,-117.08279699999754
82,Thatuna,46.77962199993003,-117.08237900000299
83,Palouse,46.779423999904246,-117.08196100000235
84,Palouse,46.779562999914866,-117.0815430000021
85,Palouse,46.77956499995585,-117.08112500000134
86,Naff,46.779420999925094,-117.08070700000289
87,Naff,46.77968399988674,-117.0802889999934
88,Palouse,46.77965499997467,-117.07987100000113
89,Palouse,46.77960671435019,-117.0794470186811
90,Naff,46.779539999960946,-117.07903500000111
91,Naff,46.77955199992513,-117.07861699999668
92,Naff,46.77955699993293,-117.07819899999495
93,Thatuna,46.779493999949246,-117.07778100000502
94,Naff,46.77965799997386,-117.07736299999384
95,Latah,46.77971682002594,-117.08807304253978
96,Latah,46.77969999988923,-117.08766300000121
97,Thatuna,46.779872999927235,-117.08724500000508
98,Thatuna,46.77984999993115,-117.08682700000193
99,Staley,46.77993499990374,-117.08640899999394
100,Staley,46.77990499995503,-117.08599100000198
101,Palouse,46.77980999996156,-117.08557299999931
102,Thatuna,46.77992799995856,-117.08515500000004
103,Thatuna,46.77977599995449,-117.0847370000014
104,Thatuna,46.77988297175679,-117.0843452172924
105,Thatuna,46.77981799989375,-117.08390099999659
106,Thatuna,46.77988099993962,-117.0834829999989
107,Thatuna,46.7798019999371,-117.08306500000168
108,Thatuna,46.779870999967486,-117.08264700000265
109,Thatuna,46.77987976503287,-117.08219347623042
110,Palouse,46.77967045038178,-117.0817533090729
111,Naff,46.77984899993913,-117.08139300000441
112,Naff,46.77985099997211,-117.08097499999876
113,Naff,46.77969062624424,-117.08053908579612
114,Naff,46.779969999970696,-117.08013900000309
115,Naff,46.77992462613571,-117.07970308597784
116,Naff,46.77990499990746,-117.07930300000599
117,Naff,46.77982599993799,-117.07888500000526
118,Naff,46.77983799989377,-117.07846699999442
119,Naff,46.77982663393515,-117.07801915998195
120,Naff,46.77977999990453,-117.07763099999431
121,Naff,46.779943999912796,-117.07721300000098
122,Thatuna,46.77998599991452,-117.08769900000428
123,Latah,46.780158999894994,-117.08728099999418
124,Latah,46.780135999941535,-117.08686300000223
125,Thatuna,46.780220999951254,-117.08644499999967
126,Staley,46.78018381527433,-117.08601127493274
127,Staley,46.78008881526922,-117.08559327501528
128,Staley,46.78021399995025,-117.08519100000245
129,Thatuna,46.78006199990529,-117.08477299999345
130,Thatuna,46.78015099994691,-117.08435499999905
131,Thatuna,46.78010399992496,-117.08393700000492
132,Thatuna,46.7801669999189,-117.08351899999772
133,Thatuna,46.78008799996173,-117.08310100000023
134,Palouse,46.78015699993997,-117.08268299999567
135,Palouse,46.78019399997939,-117.08226500000328
136,Thatuna,46.77999599991667,-117.08184699999958
137,Naff,46.78014727268699,-117.0814528717333
138,Naff,46.78013699993085,-117.08101100000641
139,Naff,46.779992999947645,-117.08059299999664
140,Naff,46.78025599991601,-117.08017500000015
141,Naff,46.780226999950294,-117.07975700000418
